SampleID	AMP23-06	AMP23-19	AMP23-22	AMP23-23	AMP23-27	AMP23-28	AMP23-29	AMP23-30	AMP23-34	AMP23-50	AMP23-58	AMP23-60	AMP23-91	AMP23-10	AMP23-13	AMP23-42	AMP23-43	AMP23-45	AMP23-46	AMP23-78	AMP23-81	AMP23-84	AMP23-93	AMP23-94	AMP23-05	AMP23-26	AMP23-92	AMP23-01	AMP23-02	AMP23-03	AMP23-04	AMP23-07	AMP23-08	AMP23-09	AMP23-12	AMP23-14	AMP23-15	AMP23-16	AMP23-17	AMP23-20	AMP23-21	AMP23-31	AMP23-35	AMP23-36	AMP23-39	AMP23-40	AMP23-41	AMP23-44	AMP23-49	AMP23-51	AMP23-52	AMP23-53	AMP23-54	AMP23-55	AMP23-61	AMP23-67	AMP23-69	AMP23-72	AMP23-74	AMP23-75	AMP23-77	AMP23-79	AMP23-83	AMP23-89	AMP23-90
AMP23-21	0.470344037	0.26213026	0.284217954	0.546858191	0.342415482	0.226051271	0.261562765	0.364507586	0.303794652	0.303083688	0.429419577	0.179807723	0.371411413	0.310122043	0.36948505	0.262307912	0.368754417	0.271447659	0.401927024	0.387922436	0.310606301	0.108188868	0.339163363	0.078600533	0.450968027	0.260865748	0.345724612	0.492247581	0.178432524	0.4213036	0.290751785	0.251282603	0.277696013	0.358409405	0.402078211	0.328610033	0.279549569	0.261903554	0.320855647	0.388639897	0	0.397861987	0.185059085	0.196783066	0.153671116	0.192604735	0.336246103	0.175155401	0.346476197	0.27651149	0.328605026	0.230583996	0.109312996	0.395052135	0.308413953	0.39093098	0.495072007	0.354658842	0.375680029	0.465512127	0.107674874	0.361756206	0.409853429	0.207609445	0.085115291
AMP23-31	0.142758399	0.158976898	0.189732581	0.236099452	0.161116391	0.31273219	0.189778939	0.074554957	0.129929572	0.188195288	0.117468737	0.253299385	0.230676949	0.169593796	0.079614848	0.265133023	0.294039071	0.139840245	0.249780044	0.128158271	0.262917817	0.489334345	0.126128674	0.46199131	0.128171861	0.273579568	0.176232442	0.192216441	0.283150166	0.16429466	0.188529879	0.197259307	0.156162262	0.096702069	0.149284825	0.154619262	0.164120913	0.177486151	0.178507432	0.128518909	0.397861987	0	0.298444122	0.292300761	0.493069172	0.244472414	0.137709379	0.541975796	0.178074896	0.178610623	0.148929313	0.210374191	0.480560124	0.222234756	0.2445288	0.117070548	0.144990101	0.216845751	0.178655773	0.095679328	0.482382238	0.119564973	0.090408653	0.220610291	0.450889736
AMP23-35	0.377230883	0.204238921	0.256605208	0.489891946	0.223986402	0.269028485	0.156450808	0.254515171	0.196583077	0.153968692	0.316324174	0.086503878	0.22201857	0.191234857	0.270394623	0.110160172	0.214980185	0.182419032	0.248304158	0.272473603	0.16996327	0.25088048	0.22341913	0.222559214	0.337790221	0.111703701	0.216951638	0.350884467	0.133521691	0.295693219	0.18629463	0.136599809	0.167101994	0.258839607	0.267593384	0.208693683	0.1778332	0.225187629	0.179629132	0.267475516	0.185059085	0.298444122	0	0.225823551	0.290909827	0.192066088	0.217194527	0.316106707	0.210273236	0.153701499	0.203525588	0.21586293	0.257163435	0.253324509	0.148312688	0.270397186	0.37643066	0.207872093	0.239898309	0.371753484	0.252383441	0.254087001	0.296312779	0.178443402	0.216890216
AMP23-36	0.370668739	0.155071318	0.147378713	0.41415906	0.282940686	0.05938961	0.173600852	0.286410838	0.233627528	0.277125657	0.355345637	0.178740323	0.360242516	0.268054843	0.285744756	0.262988716	0.379942387	0.195555061	0.3910034	0.31921348	0.33940351	0.251385599	0.277641892	0.236675829	0.36918503	0.261334062	0.306214273	0.428794414	0.204388887	0.361506224	0.238552377	0.227755606	0.222788513	0.281104058	0.342565954	0.275231183	0.201388016	0.141587526	0.286745399	0.323812366	0.196783066	0.292300761	0.225823551	0	0.223053336	0.064758196	0.269017756	0.282750964	0.300626546	0.250096083	0.274148881	0.111590035	0.231258422	0.363936812	0.31719479	0.324028313	0.41495803	0.341207981	0.332881033	0.369734466	0.238320798	0.292761654	0.336018413	0.129521117	0.217879876
AMP23-39	0.573313773	0.35530594	0.357342839	0.625233948	0.458192736	0.236278594	0.335714877	0.475734174	0.408115596	0.414573431	0.544301033	0.283365488	0.490574598	0.429005891	0.479402155	0.357037961	0.478048056	0.377155662	0.52417177	0.503311396	0.436805993	0.101754703	0.454823494	0.130261332	0.562323451	0.351248115	0.465883315	0.611296117	0.28325519	0.539304793	0.407788843	0.361148268	0.390252352	0.471679717	0.520741522	0.449669003	0.374560893	0.349993944	0.439255625	0.506940722	0.153671116	0.493069172	0.290909827	0.223053336	0	0.256081462	0.446842909	0.067742884	0.463261008	0.395138592	0.448334694	0.313709021	0.072983339	0.511699915	0.4256621	0.509310722	0.608725131	0.474362403	0.49661231	0.571659386	0.097306952	0.476278394	0.525257587	0.298723757	0.107806668
AMP23-40	0.325539142	0.107337818	0.117362052	0.38750422	0.230681822	0.107360154	0.128267184	0.230544224	0.186025739	0.224105999	0.302145839	0.133209884	0.308288306	0.217417136	0.234907225	0.220777631	0.326189458	0.140533149	0.338840425	0.263997436	0.28774333	0.263527334	0.220662907	0.240207478	0.319582939	0.218569413	0.253857344	0.373601198	0.177364007	0.308382809	0.191504583	0.17810671	0.172661215	0.228304446	0.286981344	0.220739454	0.150645792	0.101856902	0.234260932	0.26791364	0.192604735	0.244472414	0.192066088	0.064758196	0.256081462	0	0.211864144	0.310321361	0.247282609	0.197161317	0.221697226	0.075192772	0.255911231	0.31252405	0.263793856	0.268074334	0.365058661	0.288962215	0.28029117	0.32186228	0.257242918	0.236396402	0.282343388	0.085202023	0.227040738
AMP23-41	0.211827606	0.160285756	0.212054476	0.336160928	0.07763914	0.301880926	0.123346359	0.081767745	0.084327966	0.087621436	0.13084279	0.183099851	0.149786741	0.089727625	0.116029449	0.167994201	0.189262614	0.10814207	0.179079175	0.095267959	0.152558535	0.420416594	0.061228354	0.392683655	0.164725766	0.175695479	0.091408491	0.191583261	0.208558127	0.160333127	0.132431746	0.122664399	0.110569276	0.109301254	0.117039666	0.071297504	0.112839699	0.182903916	0.068782635	0.092570603	0.336246103	0.137709379	0.217194527	0.269017756	0.446842909	0.211864144	0	0.483694702	0.061762732	0.093676805	0.058172539	0.199409962	0.421829075	0.144098029	0.144107819	0.087298371	0.196779072	0.126240969	0.107086129	0.181281671	0.421600848	0.084465973	0.114311218	0.179325446	0.381838173
AMP23-44	0.622612596	0.406136543	0.415367842	0.683159471	0.495765746	0.296626449	0.371812075	0.518355072	0.452322453	0.44713074	0.588215411	0.321471155	0.524832189	0.465726256	0.524221718	0.377187997	0.499122113	0.420529336	0.55758512	0.545616388	0.459608734	0.079741657	0.49541685	0.121364437	0.607066393	0.371240705	0.501894891	0.646239996	0.31597966	0.575041413	0.44425106	0.39479512	0.430527955	0.515299976	0.557937205	0.487361968	0.409767985	0.403786421	0.474387527	0.547294736	0.175155401	0.541975796	0.316106707	0.282750964	0.067742884	0.310321361	0.483694702	0	0.498055607	0.430500537	0.48580429	0.369055569	0.076622374	0.547968328	0.453249127	0.549559295	0.65291214	0.508270919	0.532321692	0.619298756	0.090010956	0.517260969	0.567980647	0.350299776	0.11563421
AMP23-49	0.230203718	0.196603492	0.24192138	0.366474658	0.072548904	0.335507959	0.154621571	0.119380526	0.098161116	0.073147707	0.144263938	0.191660926	0.103197649	0.077251822	0.135459349	0.154240623	0.156420678	0.140979826	0.129466444	0.101906113	0.116703004	0.433246851	0.07764785	0.406436294	0.172707558	0.158022255	0.051318299	0.177822992	0.214505523	0.150879875	0.134866253	0.126528025	0.114703976	0.125277847	0.101653144	0.071233548	0.144990847	0.218534112	0.044185918	0.093918987	0.346476197	0.178074896	0.210273236	0.300626546	0.463261008	0.247282609	0.061762732	0.498055607	0	0.091987908	0.055012457	0.230365545	0.436391741	0.102173105	0.115145177	0.09544871	0.197073787	0.076321878	0.061438117	0.20674631	0.434916109	0.099699393	0.129800111	0.197765261	0.39428097
AMP23-51	0.24678129	0.153555557	0.201393008	0.376753122	0.096058689	0.286563933	0.125257179	0.134509668	0.103102833	0.046294238	0.182447419	0.120671831	0.133030608	0.06007874	0.141914532	0.112251535	0.172601879	0.092455789	0.158326387	0.140466407	0.124677129	0.367091	0.096869394	0.33795321	0.203746572	0.126076892	0.081938334	0.234030172	0.146512464	0.177472919	0.100264423	0.045213632	0.059681974	0.129271299	0.141918913	0.077298269	0.098455057	0.175958961	0.060838133	0.133312538	0.27651149	0.178610623	0.153701499	0.250096083	0.395138592	0.197161317	0.093676805	0.430500537	0.091987908	0	0.062099423	0.18282415	0.369317889	0.137042373	0.100494064	0.141266003	0.244456694	0.11015667	0.108264394	0.240909562	0.366878986	0.121182457	0.163864121	0.148554564	0.328152925
